text,label,channel
The project deadline has been extended by one week please update your deliverables,ham,email
Earn passive income while you sleep our system does all the work for you,spam,email
Your computer has a virus call Microsoft support now 1-800-FAKE-NUM,spam,email
The office will be closed on Monday for the public holiday normal hours resume Tuesday,ham,email
FINAL NOTICE your invoice is overdue pay now to avoid legal action http://debt.collect,spam,email
Your order has been shipped and is expected to arrive within 3 to 5 business days,ham,email
Congratulations you won a FREE iPhone text YES to 88001 to claim your prize,spam,email
WINNER You have been selected for a 1000 dollar gift card claim now at http://prizes.win,spam,email
Investment opportunity earn 300 percent returns guaranteed limited spots available,spam,email
Happy birthday hope you have a wonderful day celebrating with family and friends,ham,email
Reminder your dentist appointment is tomorrow at 10am please call to confirm,ham,email
Please find attached the quarterly report as discussed let me know if you have questions,ham,email
We would like to invite you to our annual company dinner on the 15th of next month,ham,email
Work from home opportunity earn 200 dollars per hour no skills required,spam,email
Your email storage is full click here to upgrade your account immediately,spam,email
URGENT IRS notice you owe back taxes call immediately to avoid arrest,spam,email
We would like to invite you to our annual company dinner on the 15th of next month,ham,email
Hi just following up on our meeting scheduled for Thursday at 2pm let me know if that works,ham,email
Just a heads up the client call has been rescheduled to next Tuesday at noon,ham,email
Please complete the mandatory training module before the end of the month,ham,email
Dear customer your account has been suspended click here to verify http://fake-bank.com,spam,email
The project deadline has been extended by one week please update your deliverables,ham,email
Can you review the pull request I submitted yesterday I need feedback before the deadline,ham,email
Reminder your dentist appointment is tomorrow at 10am please call to confirm,ham,email
Thanks for your email I will be out of office until Monday I will respond when I return,ham,email
I have reviewed your proposal and have a few minor suggestions to discuss,ham,email
Refinance your mortgage lowest rates guaranteed apply in 2 minutes,spam,email
Get rich quick guaranteed returns on crypto investment join our VIP group now,spam,email
The server maintenance is scheduled for this weekend from midnight to 4am,ham,email
Congratulations you won a FREE iPhone text YES to 88001 to claim your prize,spam,email
The annual performance review process starts next month please prepare your self assessment,ham,email
Hi just following up on our meeting scheduled for Thursday at 2pm let me know if that works,ham,email
Earn passive income while you sleep our system does all the work for you,spam,email
Your order has been shipped and is expected to arrive within 3 to 5 business days,ham,email
Claim your lottery winnings you have been randomly selected as our winner,spam,email
Exclusive casino bonus 500 dollars free play now http://casino-spam.com,spam,email
Your email storage is full click here to upgrade your account immediately,spam,email
Please complete the mandatory training module before the end of the month,ham,email
The server maintenance is scheduled for this weekend from midnight to 4am,ham,email
Buy cheap meds online no prescription needed Viagra Cialis from 0.99 dollars,spam,email
Exclusive membership offer join now and get access to premium content for free,spam,email
We would like to invite you to our annual company dinner on the 15th of next month,ham,email
Exclusive casino bonus 500 dollars free play now http://casino-spam.com,spam,email
Get rich quick guaranteed returns on crypto investment join our VIP group now,spam,email
Happy birthday hope you have a wonderful day celebrating with family and friends,ham,email
Your order has been shipped and is expected to arrive within 3 to 5 business days,ham,email
Thank you for attending the conference here are the slides from todays presentation,ham,email
FINAL NOTICE your invoice is overdue pay now to avoid legal action http://debt.collect,spam,email
Lose 30 pounds in 30 days revolutionary diet pill order now get 50 percent off,spam,email
The office will be closed on Monday for the public holiday normal hours resume Tuesday,ham,email
Could you please send me the budget spreadsheet when you get a chance thanks,ham,email
Dear customer your account has been suspended click here to verify http://fake-bank.com,spam,email
Please complete the mandatory training module before the end of the month,ham,email
The server maintenance is scheduled for this weekend from midnight to 4am,ham,email
Investment opportunity earn 300 percent returns guaranteed limited spots available,spam,email
Make 5000 a week from home no experience needed join now http://easymoney.biz,spam,email
