text,label,channel
Buy real Instagram followers 1000 followers for $2 instant delivery,spam,social
Flash sale 90% off designer bags only 10 left order now http://fake-shop.com,spam,social
Just finished my morning run feeling great ready to tackle the day,ham,social
Shoot your shot make money online $200 per day from your phone no skills,spam,social
Shoot your shot make money online $200 per day from your phone no skills,spam,social
Click the link in my bio to get a FREE iPhone 15 Pro limited time,spam,social
My team won the championship today so proud of everyone involved,ham,social
Free gift card generator working 2024 no human verification http://gift.scam,spam,social
Warning your account will be deleted unless you verify http://fake-meta.com,spam,social
Finished my dissertation finally three years of hard work paid off,ham,social
Work from home earn $500 daily no experience needed DM me to start,spam,social
Just finished my morning run feeling great ready to tackle the day,ham,social
Crypto giveaway! Send 0.1 BTC get 1 BTC back Elon Musk approved,spam,social
I will promote your page to 100k followers for just $10 DM me,spam,social
Get verified on Instagram for just $5 DM me now limited slots,spam,social
My team won the championship today so proud of everyone involved,ham,social
Work from home earn $500 daily no experience needed DM me to start,spam,social
Free Netflix premium account generator link in bio hurry limited,spam,social
Reminder that mental health matters take a break if you need one,ham,social
Free gift card generator working 2024 no human verification http://gift.scam,spam,social
This diet pill melted 30 pounds in 2 weeks no exercise needed order now,spam,social
Shoot your shot make money online $200 per day from your phone no skills,spam,social
Hot singles near you are looking for a date click the link in bio,spam,social
This diet pill melted 30 pounds in 2 weeks no exercise needed order now,spam,social
Cooking dinner for the family tonight trying a new pasta recipe,ham,social
Follow me and I'll follow back! Get 10000 followers overnight http://fakefollow.com,spam,social
FREE Robux generator! Click here no survey needed http://robux.scam,spam,social
The sunset tonight was absolutely stunning nature never disappoints,ham,social
You have been selected as our lucky winner claim your $1000 prize now,spam,social
I made $500 today just by sharing this link you can too http://easymoney.biz,spam,social
Just donated to the local food bank if you can please consider doing the same,ham,social
Retweet this and Bill Gates will donate $1 to charity for every retweet,spam,social
Just learned how to make sushi at home it turned out surprisingly well,ham,social
Subscribe to my OnlyFans link in bio exclusive content daily,spam,social
Grateful for good friends who check in on you when life gets tough,ham,social
Just tried the new coffee shop downtown highly recommend the cold brew,ham,social
I lost 20kg in 1 month using this one weird trick click to find out,spam,social
Retweet this and Bill Gates will donate $1 to charity for every retweet,spam,social
Your phone has a virus download our free antivirus app now http://malware.fake,spam,social
FREE Robux generator! Click here no survey needed http://robux.scam,spam,social
Just adopted a rescue dog meet Charlie he is the best thing ever,ham,social
Working from home today the dog keeps interrupting my meetings,ham,social
Just tried the new coffee shop downtown highly recommend the cold brew,ham,social
Breaking news celebrity dies click to see who http://clickbait.scam,spam,social
Hot singles near you are looking for a date click the link in bio,spam,social
I will promote your page to 100k followers for just $10 DM me,spam,social
Just got my exam results and I passed with distinction so relieved,ham,social
Your phone has a virus download our free antivirus app now http://malware.fake,spam,social
The sunset tonight was absolutely stunning nature never disappoints,ham,social
Happy birthday to my best friend hope you have an amazing day,ham,social
Hot singles near you are looking for a date click the link in bio,spam,social
Shoot your shot make money online $200 per day from your phone no skills,spam,social
Your phone has a virus download our free antivirus app now http://malware.fake,spam,social
